index,verilog,testbench,vcd,wavedrom,image
72,wavedrom_dataset/verilog_modules/1.v,wavedrom_dataset/testbenches/72_tb.v,wavedrom_dataset/vcd/72.vcd,wavedrom_dataset/wavedrom/72.json,wavedrom_dataset/timing_diagrams/72.png
74,wavedrom_dataset/verilog_modules/68.v,wavedrom_dataset/testbenches/74_tb.v,wavedrom_dataset/vcd/74.vcd,wavedrom_dataset/wavedrom/74.json,wavedrom_dataset/timing_diagrams/74.png
75,wavedrom_dataset/verilog_modules/81.v,wavedrom_dataset/testbenches/75_tb.v,wavedrom_dataset/vcd/75.vcd,wavedrom_dataset/wavedrom/75.json,wavedrom_dataset/timing_diagrams/75.png
76,wavedrom_dataset/verilog_modules/9.v,wavedrom_dataset/testbenches/76_tb.v,wavedrom_dataset/vcd/76.vcd,wavedrom_dataset/wavedrom/76.json,wavedrom_dataset/timing_diagrams/76.png
73,wavedrom_dataset/verilog_modules/33.v,wavedrom_dataset/testbenches/73_tb.v,wavedrom_dataset/vcd/73.vcd,wavedrom_dataset/wavedrom/73.json,wavedrom_dataset/timing_diagrams/73.png
77,wavedrom_dataset/verilog_modules/63.v,wavedrom_dataset/testbenches/77_tb.v,wavedrom_dataset/vcd/77.vcd,wavedrom_dataset/wavedrom/77.json,wavedrom_dataset/timing_diagrams/77.png
79,wavedrom_dataset/verilog_modules/8.v,wavedrom_dataset/testbenches/79_tb.v,wavedrom_dataset/vcd/79.vcd,wavedrom_dataset/wavedrom/79.json,wavedrom_dataset/timing_diagrams/79.png
78,wavedrom_dataset/verilog_modules/6.v,wavedrom_dataset/testbenches/78_tb.v,wavedrom_dataset/vcd/78.vcd,wavedrom_dataset/wavedrom/78.json,wavedrom_dataset/timing_diagrams/78.png
80,wavedrom_dataset/verilog_modules/39.v,wavedrom_dataset/testbenches/80_tb.v,wavedrom_dataset/vcd/80.vcd,wavedrom_dataset/wavedrom/80.json,wavedrom_dataset/timing_diagrams/80.png
82,wavedrom_dataset/verilog_modules/23.v,wavedrom_dataset/testbenches/82_tb.v,wavedrom_dataset/vcd/82.vcd,wavedrom_dataset/wavedrom/82.json,wavedrom_dataset/timing_diagrams/82.png
81,wavedrom_dataset/verilog_modules/32.v,wavedrom_dataset/testbenches/81_tb.v,wavedrom_dataset/vcd/81.vcd,wavedrom_dataset/wavedrom/81.json,wavedrom_dataset/timing_diagrams/81.png
84,wavedrom_dataset/verilog_modules/74.v,wavedrom_dataset/testbenches/84_tb.v,wavedrom_dataset/vcd/84.vcd,wavedrom_dataset/wavedrom/84.json,wavedrom_dataset/timing_diagrams/84.png
85,wavedrom_dataset/verilog_modules/40.v,wavedrom_dataset/testbenches/85_tb.v,wavedrom_dataset/vcd/85.vcd,wavedrom_dataset/wavedrom/85.json,wavedrom_dataset/timing_diagrams/85.png
86,wavedrom_dataset/verilog_modules/47.v,wavedrom_dataset/testbenches/86_tb.v,wavedrom_dataset/vcd/86.vcd,wavedrom_dataset/wavedrom/86.json,wavedrom_dataset/timing_diagrams/86.png
83,wavedrom_dataset/verilog_modules/29.v,wavedrom_dataset/testbenches/83_tb.v,wavedrom_dataset/vcd/83.vcd,wavedrom_dataset/wavedrom/83.json,wavedrom_dataset/timing_diagrams/83.png
87,wavedrom_dataset/verilog_modules/60.v,wavedrom_dataset/testbenches/87_tb.v,wavedrom_dataset/vcd/87.vcd,wavedrom_dataset/wavedrom/87.json,wavedrom_dataset/timing_diagrams/87.png
88,wavedrom_dataset/verilog_modules/18.v,wavedrom_dataset/testbenches/88_tb.v,wavedrom_dataset/vcd/88.vcd,wavedrom_dataset/wavedrom/88.json,wavedrom_dataset/timing_diagrams/88.png
90,wavedrom_dataset/verilog_modules/0.v,wavedrom_dataset/testbenches/90_tb.v,wavedrom_dataset/vcd/90.vcd,wavedrom_dataset/wavedrom/90.json,wavedrom_dataset/timing_diagrams/90.png
89,wavedrom_dataset/verilog_modules/48.v,wavedrom_dataset/testbenches/89_tb.v,wavedrom_dataset/vcd/89.vcd,wavedrom_dataset/wavedrom/89.json,wavedrom_dataset/timing_diagrams/89.png
91,wavedrom_dataset/verilog_modules/95.v,wavedrom_dataset/testbenches/91_tb.v,wavedrom_dataset/vcd/91.vcd,wavedrom_dataset/wavedrom/91.json,wavedrom_dataset/timing_diagrams/91.png
92,wavedrom_dataset/verilog_modules/73.v,wavedrom_dataset/testbenches/92_tb.v,wavedrom_dataset/vcd/92.vcd,wavedrom_dataset/wavedrom/92.json,wavedrom_dataset/timing_diagrams/92.png
93,wavedrom_dataset/verilog_modules/98.v,wavedrom_dataset/testbenches/93_tb.v,wavedrom_dataset/vcd/93.vcd,wavedrom_dataset/wavedrom/93.json,wavedrom_dataset/timing_diagrams/93.png
94,wavedrom_dataset/verilog_modules/3.v,wavedrom_dataset/testbenches/94_tb.v,wavedrom_dataset/vcd/94.vcd,wavedrom_dataset/wavedrom/94.json,wavedrom_dataset/timing_diagrams/94.png
95,wavedrom_dataset/verilog_modules/65.v,wavedrom_dataset/testbenches/95_tb.v,wavedrom_dataset/vcd/95.vcd,wavedrom_dataset/wavedrom/95.json,wavedrom_dataset/timing_diagrams/95.png
96,wavedrom_dataset/verilog_modules/16.v,wavedrom_dataset/testbenches/96_tb.v,wavedrom_dataset/vcd/96.vcd,wavedrom_dataset/wavedrom/96.json,wavedrom_dataset/timing_diagrams/96.png
98,wavedrom_dataset/verilog_modules/94.v,wavedrom_dataset/testbenches/98_tb.v,wavedrom_dataset/vcd/98.vcd,wavedrom_dataset/wavedrom/98.json,wavedrom_dataset/timing_diagrams/98.png
99,wavedrom_dataset/verilog_modules/96.v,wavedrom_dataset/testbenches/99_tb.v,wavedrom_dataset/vcd/99.vcd,wavedrom_dataset/wavedrom/99.json,wavedrom_dataset/timing_diagrams/99.png
97,wavedrom_dataset/verilog_modules/90.v,wavedrom_dataset/testbenches/97_tb.v,wavedrom_dataset/vcd/97.vcd,wavedrom_dataset/wavedrom/97.json,wavedrom_dataset/timing_diagrams/97.png
